CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AggregateRate,Year
580,Spain,Male,29.0,9,61710.44,2,1,0,,0,3.78,2023
807,France,Male,35.0,3,174790.15,1,1,1,,0,1.26,2023
721,Germany,Male,37.0,3,107720.64,1,1,1,,0,1.26,2023
501,France,Male,57.0,10,0.0,2,1,1,,0,4.2,2023
521,France,Male,35.0,6,96423.84,1,1,0,,0,2.52,2023
850,Spain,Male,,2,141040.01,1,1,1,,0,0.84,2023
759,France,Male,42.0,4,105420.18,1,0,1,,0,1.68,2023
516,Spain,Male,50.0,5,0.0,1,0,1,,1,2.1,2023
512,Spain,Male,33.0,3,176666.62,1,1,0,,0,1.26,2023
550,France,Male,37.0,3,0.0,1,1,1,,0,1.26,2023
618,France,Male,34.0,5,134954.53,1,1,1,,0,2.1,2023
643,France,Male,45.0,5,0.0,1,1,0,,1,2.1,2023
671,France,Male,45.0,2,106376.85,1,0,1,,0,0.84,2023
689,Germany,Male,33.0,2,161814.64,2,1,0,,0,0.84,2023
603,France,Male,31.0,8,0.0,2,1,1,,0,3.36,2023
572,Germany,Male,26.0,4,118287.01,2,0,0,,0,1.68,2023
668,Germany,Male,47.0,7,106854.21,1,0,1,,1,2.94,2023
695,France,Male,46.0,7,49512.55,1,1,0,,0,2.94,2023
807,France,Male,43.0,1,105799.32,2,1,0,,1,0.42,2023
592,France,Male,54.0,8,0.0,1,1,1,,1,3.36,2023
514,Spain,Male,30.0,7,0.0,1,0,1,,0,2.94,2023
567,France,Male,42.0,2,0.0,2,1,1,,0,0.84,2023
850,France,Male,33.0,10,0.0,1,1,0,,1,4.2,2023
671,Germany,Male,45.0,6,99564.22,1,1,1,,1,2.52,2023
670,France,Male,37.0,4,170557.91,2,1,0,,0,1.68,2023
751,Germany,Male,,2,96888.39,1,1,0,,1,0.84,2023
673,France,Male,72.0,1,0.0,2,0,1,,0,0.42,2023
610,France,Male,40.0,0,0.0,2,1,0,,0,0.0,2023
767,Germany,Male,20.0,3,119714.25,2,0,1,,0,1.26,2023
763,Germany,Male,42.0,6,100160.75,1,1,0,,1,2.52,2023
703,France,Male,28.0,2,81173.83,2,0,1,,0,0.84,2023
662,Spain,Male,38.0,4,0.0,2,1,0,,0,1.68,2023
703,France,Male,37.0,8,105961.68,2,0,1,,0,3.36,2023
659,Germany,Male,67.0,6,117411.6,1,1,1,,1,2.52,2023
523,Spain,Male,34.0,7,0.0,2,1,0,,0,2.94,2023
772,Germany,Male,26.0,7,152400.51,2,1,0,,0,2.94,2023
634,Germany,Male,24.0,8,103097.85,1,1,1,,0,3.36,2023
739,Germany,Male,54.0,8,126418.14,1,1,0,,1,3.36,2023
544,Germany,Male,37.0,2,79731.91,1,1,1,,0,0.84,2023
696,Spain,Male,28.0,8,0.0,1,0,0,,0,3.36,2023
766,Spain,Male,41.0,0,0.0,2,0,1,,0,0.0,2023
727,France,Male,34.0,10,0.0,2,1,1,,0,4.2,2023
850,Germany,Male,38.0,3,54901.01,1,1,1,,0,1.26,2023
732,Germany,Male,42.0,9,108748.08,2,1,1,,0,3.78,2023
738,Spain,Male,31.0,9,79019.8,1,1,1,,0,3.78,2023
498,France,Male,34.0,2,0.0,2,1,1,,0,0.84,2023
651,France,Male,36.0,7,0.0,2,1,0,,0,2.94,2023
650,Spain,Male,41.0,9,0.0,2,0,1,,0,3.78,2023
733,Germany,Male,34.0,3,100337.96,3,1,0,,1,1.26,2023
707,France,Male,30.0,8,0.0,2,1,0,,0,3.36,2023
712,Germany,Male,28.0,4,145605.44,1,0,1,,0,1.68,2023
756,France,Male,62.0,3,0.0,1,1,1,,1,1.26,2023
646,France,Male,35.0,6,84026.86,1,0,1,,0,2.52,2023
714,France,Male,46.0,1,0.0,1,1,0,,1,0.42,2023
782,France,Male,39.0,8,0.0,2,1,1,,0,3.36,2023
775,Spain,Male,29.0,10,0.0,2,1,1,,0,4.2,2023
479,Germany,Male,35.0,4,138718.92,1,1,1,,1,1.68,2023
807,France,Male,42.0,7,118274.71,1,1,1,,0,2.94,2023
675,France,Male,40.0,7,113208.86,2,1,0,,0,2.94,2023
602,Spain,Male,29.0,5,103907.28,1,1,0,,0,2.1,2023
588,Spain,Male,34.0,10,0.0,2,1,0,,0,4.2,2023
703,Germany,Male,42.0,9,63227.0,1,0,1,,0,3.78,2023
583,France,Male,27.0,7,0.0,2,1,0,,0,2.94,2023
681,France,Male,38.0,3,0.0,2,1,1,,0,1.26,2023
773,France,Male,25.0,2,135903.33,1,1,0,,0,0.84,2023
511,France,Male,58.0,0,149117.31,1,1,1,,0,0.0,2023
627,France,Male,33.0,5,0.0,2,1,1,,0,2.1,2023
687,France,Male,35.0,8,0.0,2,1,0,,0,3.36,2023
553,France,Male,33.0,4,118082.89,1,0,0,,0,1.68,2023
667,France,Male,31.0,1,119266.69,1,1,1,,0,0.42,2023
731,France,Male,43.0,2,0.0,1,1,1,,1,0.84,2023
629,Germany,Male,35.0,7,156847.29,2,1,0,,0,2.94,2023
614,France,Male,50.0,4,137104.47,1,1,0,,1,1.68,2023
438,Germany,Male,31.0,8,78398.69,1,1,0,,0,3.36,2023
729,Germany,Male,30.0,6,63669.42,1,1,0,,0,2.52,2023
642,France,Male,38.0,3,0.0,2,0,0,,0,1.26,2023
744,Spain,Male,36.0,2,153804.44,1,1,1,,0,0.84,2023
474,Spain,Male,37.0,3,0.0,2,0,0,,0,1.26,2023
559,France,Male,49.0,2,147069.78,1,1,0,,1,0.84,2023
706,Spain,Male,42.0,9,0.0,2,1,1,,0,3.78,2023
429,France,Male,24.0,4,95741.75,1,1,0,,0,1.68,2023
749,France,Male,40.0,1,139290.41,1,1,0,,1,0.42,2023
734,France,Male,30.0,3,0.0,2,1,0,,0,1.26,2023
716,France,Male,35.0,4,144428.87,1,1,0,,0,1.68,2023
594,France,Male,35.0,2,0.0,2,1,0,,0,0.84,2023
671,Germany,Male,35.0,1,144848.74,1,1,1,,0,0.42,2023
664,Germany,Male,26.0,7,116244.14,2,1,1,,0,2.94,2023
656,France,Male,50.0,7,0.0,2,0,1,,0,2.94,2023
663,Germany,Male,44.0,2,117028.6,2,0,1,,0,0.84,2023
485,France,Male,29.0,7,182123.79,1,1,0,,1,2.94,2023
649,France,Male,33.0,2,0.0,2,1,0,,0,0.84,2023
659,France,Male,31.0,4,118342.26,1,0,0,,0,1.68,2023
543,France,Male,22.0,8,0.0,2,0,0,,0,3.36,2023
643,Germany,Male,59.0,3,170331.37,1,1,1,,0,1.26,2023
582,France,Male,39.0,5,0.0,2,1,1,,0,2.1,2023
659,Spain,Male,32.0,3,107594.11,2,1,1,,0,1.26,2023
762,Spain,Male,39.0,2,81273.13,1,1,1,,0,0.84,2023
670,Spain,Male,25.0,6,0.0,2,1,1,,0,2.52,2023
539,France,Male,30.0,0,0.0,2,1,0,,0,0.0,2023
522,Spain,Male,34.0,9,126436.29,1,1,0,,1,3.78,2023
737,France,Male,41.0,1,101960.74,1,1,1,,0,0.42,2023
520,France,Male,58.0,3,0.0,2,0,1,,0,1.26,2023
706,Spain,Male,28.0,3,0.0,2,0,1,,0,1.26,2023
640,France,Male,68.0,9,0.0,2,1,1,,0,3.78,2023
636,Germany,Male,34.0,2,40105.51,2,0,1,,0,0.84,2023
801,Spain,Male,,4,141947.67,1,1,1,,0,1.68,2023
611,Germany,Male,31.0,0,107884.81,2,1,1,,0,0.0,2023
802,Germany,Male,31.0,1,125013.72,1,1,1,,0,0.42,2023
717,Germany,Male,35.0,7,58469.37,2,1,1,,0,2.94,2023
745,Germany,Male,45.0,10,117231.63,3,1,1,,1,4.2,2023
572,Spain,Male,35.0,4,152390.26,1,1,0,,0,1.68,2023
690,France,Male,36.0,7,101583.11,2,1,0,,0,2.94,2023
709,Germany,Male,28.0,8,124695.72,2,1,0,,0,3.36,2023
705,Germany,Male,44.0,3,105934.96,1,1,0,,0,1.26,2023
611,Spain,Male,46.0,6,0.0,2,1,0,,0,2.52,2023
730,Spain,Male,62.0,2,0.0,2,1,1,,0,0.84,2023
752,Germany,Male,38.0,3,183102.29,1,1,1,,0,1.26,2023
648,Spain,Male,46.0,9,127209.0,2,1,0,,1,3.78,2023
556,Spain,Male,38.0,8,0.0,2,0,0,,1,3.36,2023
557,France,Male,33.0,3,54503.55,1,1,1,,0,1.26,2023
547,Germany,Male,32.0,8,155726.85,1,1,0,,0,3.36,2023
605,France,Male,52.0,1,63349.75,1,1,0,,0,0.42,2023
751,Spain,Male,52.0,8,0.0,2,0,1,,0,3.36,2023
443,Spain,Male,36.0,6,70438.01,2,0,1,,0,2.52,2023
685,France,Male,23.0,8,0.0,2,1,1,,0,3.36,2023
718,France,Male,36.0,9,0.0,1,1,0,,0,3.78,2023
668,Germany,Male,37.0,10,152958.29,2,1,1,,0,4.2,2023
709,Spain,Male,23.0,10,0.0,2,0,0,,0,4.2,2023
850,France,Male,38.0,1,0.0,2,1,1,,0,0.42,2023
795,Spain,Male,35.0,8,0.0,2,1,0,,0,3.36,2023
626,Spain,Male,26.0,8,0.0,2,0,0,,0,3.36,2023
535,Germany,Male,40.0,7,111756.5,1,1,0,,1,2.94,2023
596,France,Male,39.0,9,0.0,1,1,0,,0,3.78,2023
648,France,Male,26.0,9,162923.85,1,1,0,,0,3.78,2023
492,Germany,Male,39.0,10,124576.65,2,1,0,,0,4.2,2023
702,France,Male,45.0,0,80793.58,1,1,1,,0,0.0,2023
568,Germany,Male,40.0,1,99282.63,1,0,0,,1,0.42,2023
619,Germany,Male,57.0,3,137946.39,1,1,1,,1,1.26,2023
724,Germany,Male,41.0,2,127892.57,2,0,1,,0,0.84,2023
683,France,Male,33.0,8,0.0,1,0,0,,0,3.36,2023
516,France,Male,35.0,10,104088.59,2,0,0,,0,4.2,2023
745,France,Male,46.0,2,122220.19,1,1,1,,0,0.84,2023
553,Spain,Male,47.0,3,116528.15,1,0,0,,1,1.26,2023
722,France,Male,37.0,2,0.0,1,0,0,,0,0.84,2023
501,France,Male,40.0,4,125832.2,1,1,1,,0,1.68,2023
850,France,Male,40.0,9,0.0,2,0,1,,0,3.78,2023
592,Spain,Male,31.0,7,110071.1,1,0,0,,0,2.94,2023
506,France,Male,36.0,5,0.0,2,1,0,,0,2.1,2023
733,France,Male,33.0,3,0.0,1,1,1,,0,1.26,2023
711,France,Male,38.0,3,0.0,2,1,0,,0,1.26,2023
514,Germany,Male,43.0,1,95556.31,1,0,1,,1,0.42,2023
637,Spain,Male,37.0,8,0.0,1,1,1,,0,3.36,2023
468,Germany,Male,29.0,1,111681.98,2,1,1,,0,0.42,2023
539,France,Male,39.0,3,0.0,2,1,0,,0,1.26,2023
818,Spain,Male,26.0,4,0.0,2,1,1,,0,1.68,2023
608,France,Male,33.0,9,89968.69,1,1,0,,0,3.78,2023
536,France,Male,35.0,8,0.0,2,1,0,,0,3.36,2023
753,France,Male,35.0,3,0.0,2,1,1,,0,1.26,2023
631,Spain,Male,27.0,10,134169.62,1,1,1,,0,4.2,2023
703,France,Male,37.0,1,149762.08,1,1,0,,1,0.42,2023
774,France,Male,26.0,2,93844.69,1,1,0,,0,0.84,2023
785,France,Male,28.0,8,0.0,2,1,0,,0,3.36,2023
621,Germany,Male,46.0,6,141078.37,1,0,0,,1,2.52,2023
569,France,Male,38.0,7,0.0,1,1,1,,0,2.94,2023
658,France,Male,29.0,4,80262.6,1,1,1,,0,1.68,2023
788,Spain,Male,34.0,6,156478.62,1,0,1,,0,2.52,2023
798,France,Male,37.0,8,0.0,3,0,0,,0,3.36,2023
486,Germany,Male,37.0,9,115217.99,2,1,0,,0,3.78,2023
615,Spain,Male,61.0,9,0.0,2,1,0,,1,3.78,2023
641,France,Male,37.0,7,0.0,2,1,0,,0,2.94,2023
542,France,Male,39.0,3,135096.77,1,1,1,,1,1.26,2023
692,France,Male,30.0,2,0.0,2,0,1,,0,0.84,2023
591,Spain,Male,29.0,1,97541.24,1,1,1,,0,0.42,2023
765,Germany,Male,36.0,8,92310.54,2,1,1,,0,3.36,2023
806,France,Male,40.0,5,80613.93,1,1,1,,0,2.1,2023
757,Germany,Male,26.0,8,121581.56,2,1,1,,0,3.36,2023
555,Spain,Male,32.0,4,0.0,2,1,1,,0,1.68,2023
692,France,Male,54.0,5,0.0,2,1,1,,0,2.1,2023
774,France,Male,60.0,5,85891.55,1,1,0,,1,2.1,2023
638,Spain,Male,44.0,9,77637.35,2,1,1,,0,3.78,2023
584,France,Male,31.0,5,0.0,2,1,0,,0,2.1,2023
691,Germany,Male,30.0,7,116927.89,1,1,0,,0,2.94,2023
733,France,Male,22.0,5,0.0,2,1,1,,0,2.1,2023
735,Spain,Male,34.0,5,0.0,2,0,0,,0,2.1,2023
734,France,Male,34.0,6,133598.4,1,1,1,,0,2.52,2023
793,Spain,Male,38.0,9,0.0,2,1,0,,0,3.78,2023
779,Germany,Male,37.0,7,120092.52,2,1,0,,0,2.94,2023
698,France,Male,48.0,4,101238.24,2,0,1,,1,1.68,2023
707,France,Male,58.0,6,89685.92,1,0,1,,0,2.52,2023
850,France,Male,56.0,7,131317.48,1,1,1,,0,2.94,2023
527,Spain,Male,37.0,5,93722.73,2,1,1,,0,2.1,2023
696,Germany,Male,32.0,8,101160.99,1,1,1,,0,3.36,2023
661,France,Male,48.0,3,120320.54,1,0,0,,0,1.26,2023
701,France,Male,43.0,2,0.0,2,1,1,,0,0.84,2023
610,France,Male,26.0,8,0.0,2,1,0,,0,3.36,2023
673,France,Male,30.0,1,64097.75,1,1,1,,0,0.42,2023
729,France,Male,32.0,6,93694.42,1,1,1,,0,2.52,2023
543,Spain,Male,35.0,10,59408.63,1,1,0,,0,4.2,2023
608,France,Male,59.0,1,0.0,1,1,0,,1,0.42,2023
639,Germany,Male,35.0,10,128173.9,2,1,0,,0,4.2,2023
686,Spain,Male,34.0,9,0.0,2,1,0,,0,3.78,2023
833,France,Male,37.0,8,151226.18,2,1,1,,0,3.36,2023
622,France,Male,26.0,9,0.0,2,1,1,,0,3.78,2023
721,Spain,Male,51.0,0,169312.13,1,1,0,,1,0.0,2023
587,France,Male,38.0,0,0.0,2,1,0,,0,0.0,2023
508,France,Male,49.0,7,122451.46,2,1,1,,0,2.94,2023
749,France,Male,24.0,1,0.0,3,1,1,,0,0.42,2023
674,Germany,Male,47.0,6,106901.94,1,1,1,,1,2.52,2023
417,France,Male,34.0,7,0.0,2,1,0,,0,2.94,2023
574,Germany,Male,33.0,3,129834.67,1,1,0,,0,1.26,2023
587,Germany,Male,40.0,5,138241.9,2,1,0,,0,2.1,2023
598,Germany,Male,41.0,3,91536.93,1,1,0,,1,1.26,2023
741,Spain,Male,53.0,3,0.0,2,1,1,,0,1.26,2023
650,Spain,Male,61.0,1,152968.73,1,0,1,,0,0.42,2023
607,Spain,Male,36.0,8,158261.68,1,1,1,,0,3.36,2023
543,France,Male,36.0,4,0.0,2,1,1,,0,1.68,2023
737,Germany,Male,31.0,5,121192.22,2,1,1,,0,2.1,2023
761,France,Male,31.0,7,0.0,3,1,1,,0,2.94,2023
601,France,Male,44.0,1,100486.18,2,1,1,,0,0.42,2023
651,France,Male,45.0,1,0.0,1,1,0,,1,0.42,2023
745,France,Male,35.0,9,92566.53,2,1,0,,0,3.78,2023
848,Spain,Male,40.0,3,110929.96,1,1,1,,0,1.26,2023
755,France,Male,30.0,4,123217.66,2,0,1,,0,1.68,2023
701,France,Male,39.0,2,0.0,2,1,1,,0,0.84,2023
701,Spain,Male,36.0,8,0.0,2,1,0,,0,3.36,2023
621,Spain,Male,53.0,9,170491.84,1,1,0,,1,3.78,2023
725,France,Male,44.0,5,0.0,1,1,1,,0,2.1,2023
526,France,Male,36.0,1,0.0,1,1,0,,0,0.42,2023
700,France,Male,38.0,8,134811.3,1,1,0,,0,3.36,2023
630,Spain,Male,32.0,4,82034.0,1,0,0,,0,1.68,2023
685,Spain,Male,43.0,9,0.0,2,1,0,,0,3.78,2023
646,Germany,Male,39.0,9,111574.41,1,1,1,,0,3.78,2023
566,France,Male,30.0,5,0.0,1,1,0,,1,2.1,2023
702,France,Male,37.0,10,150525.8,1,1,1,,0,4.2,2023
601,France,Male,29.0,9,0.0,1,1,1,,0,3.78,2023
699,France,Male,53.0,4,0.0,2,0,1,,0,1.68,2023
584,France,Male,28.0,10,0.0,2,1,0,,0,4.2,2023
699,France,Male,35.0,5,0.0,2,1,1,,0,2.1,2023
495,France,Male,30.0,10,129755.99,1,0,0,,0,4.2,2023
667,Spain,Male,38.0,1,87202.38,1,1,1,,0,0.42,2023
688,Germany,Male,26.0,8,146133.39,1,1,1,,0,3.36,2023
754,Spain,Male,39.0,6,170184.99,2,1,0,,0,2.52,2023
546,Spain,Male,42.0,7,139070.51,1,1,1,,0,2.94,2023
593,France,Male,35.0,9,114193.24,1,1,0,,0,3.78,2023
678,Germany,Male,36.0,3,145747.67,2,0,1,,0,1.26,2023
850,Spain,Male,35.0,7,110349.82,1,0,0,,0,2.94,2023
427,France,Male,29.0,1,141325.56,1,1,1,,0,0.42,2023
752,France,Male,49.0,2,78653.84,1,1,0,,0,0.84,2023
649,France,Male,47.0,1,0.0,2,1,1,,0,0.42,2023
540,Germany,Male,44.0,3,164113.04,2,1,1,,0,1.26,2023
850,France,Male,31.0,6,67996.23,2,0,0,,1,2.52,2023
682,France,Male,48.0,1,138778.15,1,0,1,,0,0.42,2023
752,Spain,Male,48.0,5,116060.08,1,1,0,,1,2.1,2023
578,France,Male,38.0,7,82259.29,1,1,0,,0,2.94,2023
652,France,Male,38.0,6,0.0,2,1,1,,0,2.52,2023
720,France,Male,52.0,7,0.0,1,1,1,,0,2.94,2023
668,France,Male,42.0,3,150461.07,1,1,0,,0,1.26,2023
459,Germany,Male,48.0,4,133994.52,1,1,1,,1,1.68,2023
729,Spain,Male,31.0,8,164870.81,2,1,1,,0,3.36,2023
498,Germany,Male,25.0,8,121702.73,1,1,1,,0,3.36,2023
549,Spain,Male,25.0,6,193858.2,1,0,1,,0,2.52,2023
544,France,Male,64.0,9,113829.45,1,1,1,,0,3.78,2023
694,Spain,Male,57.0,8,116326.07,1,1,1,,0,3.36,2023
678,France,Male,31.0,2,0.0,2,1,1,,0,0.84,2023
695,France,Male,46.0,4,0.0,2,1,1,,0,1.68,2023
661,France,Male,33.0,9,0.0,2,1,1,,0,3.78,2023
503,France,Male,29.0,3,0.0,2,1,1,,0,1.26,2023
695,Spain,Male,46.0,3,122549.64,1,1,1,,0,1.26,2023
667,France,Male,42.0,9,0.0,2,0,1,,0,3.78,2023
642,France,Male,26.0,0,0.0,1,0,0,,0,0.0,2023
529,Spain,Male,35.0,5,0.0,2,1,1,,0,2.1,2023
739,Germany,Male,45.0,7,102703.62,1,0,1,,1,2.94,2023
482,France,Male,55.0,5,97318.25,1,0,1,,0,2.1,2023
591,Spain,Male,58.0,5,128468.69,1,0,1,,0,2.1,2023
583,France,Male,24.0,9,135125.28,1,0,0,,0,3.78,2023
661,Spain,Male,42.0,2,178820.91,1,0,0,,1,0.84,2023
716,Germany,Male,27.0,1,122552.34,2,1,0,,0,0.42,2023
767,France,Male,43.0,1,76408.85,2,1,0,,0,0.42,2023
745,Germany,Male,36.0,8,145071.24,1,0,0,,0,3.36,2023
589,France,Male,34.0,6,0.0,2,1,1,,0,2.52,2023
664,France,Male,57.0,6,0.0,2,1,1,,0,2.52,2023
445,Spain,Male,62.0,1,64119.38,1,1,1,,1,0.42,2023
746,Spain,Male,36.0,2,0.0,2,1,1,,0,0.84,2023
742,Germany,Male,33.0,0,181656.51,1,1,1,,0,0.0,2023
669,France,Male,30.0,7,95128.86,1,0,0,,0,2.94,2023
574,Spain,Male,36.0,1,0.0,2,0,1,,0,0.42,2023
659,Germany,Male,36.0,2,76190.48,2,1,1,,0,0.84,2023
750,Germany,Male,40.0,5,168286.81,3,1,0,,1,2.1,2023
626,Germany,Male,35.0,4,88109.81,1,1,1,,0,1.68,2023
620,France,Male,42.0,4,0.0,2,1,0,,0,1.68,2023
540,France,Male,48.0,0,148116.48,1,0,0,,0,0.0,2023
634,Germany,Male,35.0,6,116269.01,1,1,0,,0,2.52,2023
632,Spain,Male,38.0,1,120599.21,1,1,0,,0,0.42,2023
786,France,Male,34.0,9,0.0,2,1,0,,0,3.78,2023
474,France,Male,45.0,10,0.0,2,0,0,,0,4.2,2023
669,France,Male,23.0,1,0.0,2,0,0,,0,0.42,2023
694,France,Male,36.0,3,97530.25,1,1,1,,0,1.26,2023
580,France,Male,37.0,9,0.0,2,0,1,,0,3.78,2023
591,France,Male,24.0,6,147360.0,1,1,1,,0,2.52,2023
657,Spain,Male,31.0,3,125167.02,1,0,0,,0,1.26,2023
738,Germany,Male,43.0,9,121152.05,2,1,0,,1,3.78,2023
497,France,Male,47.0,6,0.0,1,1,1,,0,2.52,2023
816,Spain,Male,67.0,6,151858.98,1,1,1,,0,2.52,2023
525,France,Male,36.0,2,114628.4,1,0,1,,0,0.84,2023
725,France,Male,46.0,6,0.0,2,1,0,,0,2.52,2023
